id,rut,nombre,segundo_nombre,apellido,segundo_apellido,edad,fecha_nacimiento
1,12154051-7,Carlos,Javier,Medina,Rojas,55.0,13-04-1971
2,13553384-K,Bárbara,Carolina,Martínez,Valenzuela,29.0,17-12-1997
3,17350099-8,Rodrigo,Alejandro,Vergara,Araya,33.0,02-07-1993
4,10352896-8,Javiera,Valentina,Silva,Rojas,36.0,01-05-1990
5,13841005-6,Matías,Manuel,González,Rojas,61.0,13-04-1965
6,14672073-0,José,Gonzalo,Rojas,Valenzuela,45.0,08-05-1981
7,14076817-0,Daniela,Bárbara,Pérez,Donoso,24.0,28-05-2002
8,15944126-1,Patricia,Daniela,Díaz,Díaz,28.0,02-09-1998
9,21297182-0,Patricia,Alejandra,Cortés,Donoso,60.0,10-11-1964
10,14171761-8,José,Alejandro,Donoso,Morales,57.0,20-10-1969
11,13078418-6,Francisco,Felipe,Fuentes,Pérez,29.0,06-11-1997
12,17434500-7,Alejandra,Valentina,Cortés,Castro,60.0,06-10-1966
13,13965789-6,José,Felipe,Medina,González,58.0,14-05-1968
14,10983738-5,Cristián,Javier,Torres,Contreras,31.0,24-12-1995
15,14785687-3,Alejandro,Juan,Herrera,Martínez,26.0,26-10-2000
16,13652414-3,Bárbara,Sofía,Pérez,Contreras,40.0,14-08-1986
17,10959074-6,Matías,Felipe,Muñoz,Donoso,38.0,19-02-1988
18,10954280-6,Matías,Javier,Valenzuela,Castro,52.0,14-02-1974
19,16774229-7,Diego,Carlos,Cárcamo,Rojas,45.0,06-02-1981
20,20391497-0,Matías,Manuel,Tapia,Cárcamo,63.0,26-07-1963
21,14374922-3,Cristián,Matías,Tapia,Valenzuela,38.0,19-05-1988
22,21269091-0,Gonzalo,Manuel,Martínez,Herrera,55.0,28-09-1971
23,10156287-5,Alejandra,Andrea,Castro,Lara,60.0,05-07-1966
24,18487336-2,Nicole,Verónica,Díaz,Rojas,47.0,14-02-1979
25,16199635-1,Francisca,Natalia,Espinoza,Rojas,45.0,30-11-1981
26,20262249-6,Carolina,Alejandra,Medina,Castillo,39.0,20-02-1987
27,12253031-0,Felipe,Rodrigo,Castro,Vergara,57.0,17-04-1969
28,14569244-K,Javiera,Javiera,Donoso,Castillo,53.0,11-12-1973
29,21534287-5,Nicole,Daniela,Casanova,Morales,48.0,07-04-1978
30,11548511-3,Isabel,Sofía,Martínez,Espinoza,62.0,22-07-1964
31,20688988-8,Constanza,Ana,González,Morales,55.0,26-09-1971
32,19410455-3,Carolina,Alejandra,Castillo,Casanova,28.0,15-05-1998
33,19153486-7,Luis,Carlos,Espinoza,Casanova,53.0,16-05-1973
34,12138181-8,Sebastián,Matías,Castillo,Pérez,28.0,23-07-1998
35,16003042-9,Rodrigo,Sebastián,Espinoza,Castro,63.0,31-07-1963
36,20412972-K,Manuel,Luis,Rodríguez,Lara,30.0,16-06-1996
37,16917152-1,Manuel,Diego,Garrido,Garrido,51.0,19-11-1975
38,21239176-K,Diego,Gonzalo,Garrido,Castro,30.0,08-12-1996
39,16417985-0,Jorge,Diego,Garrido,Casanova,57.0,12-09-1969
40,15866294-9,Javier,Manuel,Contreras,Medina,25.0,18-04-2001
41,16685149-1,Valentina,Valentina,González,Vergara,49.0,29-04-1977
42,20762277-K,Constanza,Camila,Lara,Martínez,35.0,03-07-1991
43,12995870-7,Bárbara,Andrea,González,Díaz,43.0,08-06-1983
44,15262632-0,Ana,Javiera,Cárcamo,Sepúlveda,35.0,05-01-1991
45,14273534-2,Nicole,Isabel,Díaz,Herrera,49.0,19-01-1977
46,16110622-4,Cristián,Juan,Valenzuela,Castro,49.0,04-09-1977
47,15038571-7,Camila,Andrea,Cárcamo,Morales,55.0,07-03-1971
48,19301497-6,Patricia,Andrea,Herrera,Casanova,40.0,11-07-1986
49,20326626-K,Francisco,Cristián,Vergara,Herrera,51.0,12-08-1975
50,14813613-0,Claudia,Bárbara,Medina,González,39.0,06-04-1987
51,17801207-K,Cristián,Matías,Cárcamo,Araya,38.0,28-11-1988
52,21053681-7,Alejandra,Daniela,Valenzuela,Torres,51.0,23-03-1975
53,11566777-7,Rodrigo,Andrés,Vergara,Araya,36.0,26-01-1990
54,10409790-1,Rodrigo,Manuel,Garrido,Contreras,53.0,21-03-1973
55,17640615-1,Manuel,Javier,Cárcamo,Cortés,60.0,14-07-1966
56,18294272-3,Verónica,Daniela,Casanova,Casanova,32.0,13-06-1994
