id,id_cargo,nombre,apellido,rut
1,3,Juan,Donoso,14108603-0
2,2,Pedro,Donoso,21353133-6
3,2,Matías,Sepúlveda,10499914-K
4,2,Francisco,Silva,19416129-8
5,2,Felipe,Sepúlveda,17536477-3
6,2,María,Lara,21712835-8
7,2,Andrea,Martínez,13612365-3
8,3,Javiera,Rojas,11622631-6
9,3,Natalia,Cárcamo,10728977-1
10,3,Bárbara,Díaz,11322047-3
11,3,Nicole,Espinoza,19686361-3
12,2,Carlos,Muñoz,14855124-3
13,2,Manuel,Cortés,16377459-3
14,3,Alejandra,Araya,12728882-8
15,3,Natalia,Contreras,21774590-K
16,5,Nicolás,Araya,18961380-6
17,9,Diego,Fuentes,14528972-6
18,1,Gonzalo,Medina,13842788-9
19,7,Gonzalo,Herrera,11110460-3
20,8,Matías,Espinoza,13567281-5
21,10,Claudia,Espinoza,12396987-1
22,7,Francisca,Silva,19807725-9
23,8,Verónica,Herrera,13679591-0
24,4,Andrés,Torres,10790481-6
25,5,Pedro,Araya,21416580-5
26,9,Nicole,Rojas,16402509-8
27,1,Isabel,Martínez,21413261-3
28,7,Felipe,Lara,20753554-0
29,9,Javiera,Flores,12653446-9
30,7,María,Donoso,18398441-1
31,4,Andrés,Castro,20490796-K
32,6,Isabel,Cárcamo,12564217-9
33,1,Carolina,Castillo,20048622-6
34,4,Sofía,González,16089806-2
35,6,Valentina,Muñoz,19518669-3
